77	656	1594	135	33	1206	897	446	1235	4655	1966	3141	17919	400	152	714	22994	186442	404	168	2481	1005	2531	5819	462	10091	95	145	2739	598	1061	202	517	6488	32175	914	1737	24366	941
0	3	5	0	0	225	6935	2917	508	8	0	4	0	73	977	455	2	0	26455	192	0	0	473	64	0	22	1	961	4	479	990	254	26	28	76	303	0	68	489
9	153	22	1	26	476	5690	1631	973	0	13	18	186	1453	10724	1089	323	8	1434	94597	92	24	183	45	0	22	3730	3318	29	194	1317	6578	699	178	8	172	175	620	0
12050	1310	9756	12141	2383	2354	31	468	1163	2572	2047	3311	1418	641	570	2727	3453	2790	0	658	123984	9883	4764	3483	38326	7925	530	344	4767	490	109	495	422	15221	10714	5043	22257	708	135
147	225	1325	353	569	2550	97	576	2459	1097	333	895	554	223	723	144	1012	643	27	17	4697	127352	27823	5783	1536	19	255	1630	579	212	107	155	475	178	4124	9506	4277	1319	155
236	1405	2642	1094	339	1214	117	1765	4413	12344	1077	1565	2097	417	905	664	7702	4471	99	226	5294	36245	172245	36405	1692	1384	64	1062	1998	199	1311	869	901	1823	3423	8817	1147	3243	970
147	92	147	112	21	0	0	5	325	234	2	41	1139	22	341	402	1475	2147	0	0	65	2903	6300	31174	225	124	0	20	34	9	8	0	6	141	1106	293	112	39	19
5894	908	10139	6885	2738	817	148	594	1317	1344	11125	6056	3528	48	180	1897	2501	928	0	210	27044	656	1991	395	67611	6698	14	73	2401	26	226	40	143	13430	483	2765	2211	559	332
2638	3	872	0	260	171	46	61	100	239	162	2670	1436	1	0	0	454	21	96	0	4299	106	69	882	5460	19038	69	0	4154	0	105	0	0	1524	66	3	1888	479	43
41	111	82	58	138	8328	1306	3873	2018	63	96	93	83	1786	1130	3195	229	171	266	3974	222	49	0	0	28	49	58959	2505	135	41	3	4240	1387	178	0	1084	95	133	0
179	945	1875	762	996	66239	9254	69383	67383	92748	949	3322	3932	68468	56865	64019	3331	6710	9845	44543	4280	19287	38651	29717	1327	1798	47091	1347127	1271	14191	15345	27079	78239	1146	1268	87380	11861	3523	12641
10082	2484	5558	5301	7916	1732	255	370	447	3180	9796	33136	3175	520	469	1547	4397	1783	268	463	6384	3481	2808	522	6210	11209	516	25	78154	11	267	535	763	15319	9504	8149	10682	1665	64
0	230	704	0	107	478	24007	3288	3146	1947	285	261	162	13967	804	4401	1542	678	13226	3167	231	749	2711	765	116	100	506	2517	29	352410	43707	6129	24036	506	592	3726	364	326	73280
1	436	7	0	2	50	13870	569	829	835	128	36	674	1758	17	940	249	205	8286	1154	26	17	123	304	56	39	108	205	49	12296	96176	490	636	137	148	711	41	365	5003
1	18	109	9	6	448	14842	9703	1285	304	5	25	20	808	3030	336	116	9	1798	14043	0	5	9	16	0	1	2493	1552	186	2708	1078	74073	4398	70	165	93	1	91	83
0	0	115	11	0	296	915	785	1266	641	0	1	0	3878	62	639	57	23	478	355	122	53	556	148	0	13	1129	3057	50	975	2	1912	26884	95	0	1504	162	7	934
122	38	2090	2	562	168	2	4	97	595	331	1108	800	9	297	197	1561	747	0	81	2716	97	241	1	1387	288	55	18	833	7	199	9	58	15342	2715	251	1651	63	13
4	17	497	2	4	181	224	97	192	730	201	2708	597	61	0	46	5702	5670	145	33	1562	658	469	251	965	109	10	0	2248	84	424	730	217	8408	62588	1366	2848	8996	552
0	1	341	319	21	1063	0	232	3527	3070	377	600	17	2426	80	146	1317	681	221	1	617	3173	2038	69	178	1	274	617	608	493	1	0	504	276	499	63227	287	180	1340
1403	164	510	908	1086	2375	65	405	476	338	548	190	664	133	835	420	527	1731	19	415	13900	3047	1325	1558	1423	2130	219	138	1277	0	0	42	672	2897	6088	3045	89294	639	170
0	1	54	10	184	272	375	71	494	83	456	269	1335	54	114	382	1527	7063	336	11	148	1162	1091	1467	16	695	5	20	16	68	56	22	17	630	4492	1	97	23414	433
1	0	171	72	148	12	2040	659	3432	1395	10	765	578	3794	23	2403	425	642	4240	0	279	399	1280	495	179	456	0	974	43	45016	14506	250	3442	538	1409	4263	318	498	149429
